"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"365","0047",7706,4,56852,"2022-04-18 09:41:26.332",6267
"366","0048",4351,3,56852,"2022-04-18 09:41:26.332",9415
"367","03DF",28369,11,56852,"2022-04-18 09:41:26.332",252870
"368","0001",31957,127,56856,"2022-04-18 10:45:04.064",40802
"369","0003",38006,103,56856,"2022-04-18 10:45:04.064",172430
"370","0004",20835,149,56856,"2022-04-18 10:45:04.064",14646
"371","0005",42316,69,56856,"2022-04-18 10:45:04.064",1506045
"372","0006",6244,55,56856,"2022-04-18 10:45:04.064",16342
"373","0009",41034,193,56856,"2022-04-18 10:45:04.064",15622128
"374","000A",5126,4,56856,"2022-04-18 10:45:04.064",548
"375","000B",2135,14,56856,"2022-04-18 10:45:04.064",7264
"376","000C",4879,14,56856,"2022-04-18 10:45:04.064",20412
"377","0010",3543,14,56856,"2022-04-18 10:45:04.064",365
"378","0021",42996,673,56856,"2022-04-18 10:45:04.064",3592129
"379","0022",23892,72,56856,"2022-04-18 10:45:04.064",173336
"380","0023",13521,83,56856,"2022-04-18 10:45:04.064",7331
"381","0024",19730,72,56856,"2022-04-18 10:45:04.064",309
"382","0025",29414,159,56856,"2022-04-18 10:45:04.064",9284
"383","0026",35640,106,56856,"2022-04-18 10:45:04.064",44855
"384","0027",42154,234,56856,"2022-04-18 10:45:04.064",6330942
"385","0028",24480,64,56856,"2022-04-18 10:45:04.064",77208
"386","0040",42806,223,56856,"2022-04-18 10:45:04.064",8324450
"387","0044",17245,11,56856,"2022-04-18 10:45:04.064",279712
"388","0047",7706,4,56856,"2022-04-18 10:45:04.064",6865
"389","0048",4351,3,56856,"2022-04-18 10:45:04.064",7369
"390","03DF",28369,11,56856,"2022-04-18 10:45:04.064",235914
"391","0001",31963,127,56860,"2022-04-18 11:43:48.950",33066
"392","0003",38012,103,56860,"2022-04-18 11:43:48.950",127527
"393","0004",20841,149,56860,"2022-04-18 11:43:48.950",18705
"394","0005",42323,69,56860,"2022-04-18 11:43:48.950",1503390
"395","0006",6244,55,56860,"2022-04-18 11:43:48.950",15832
"396","0009",41042,193,56860,"2022-04-18 11:43:48.950",16630195
"397","000A",5126,4,56860,"2022-04-18 11:43:48.950",9968
"398","000B",2135,14,56860,"2022-04-18 11:43:48.950",13146
"399","000C",4879,14,56860,"2022-04-18 11:43:48.950",22984
"400","0010",3543,14,56860,"2022-04-18 11:43:48.950",315
"401","0021",43003,673,56860,"2022-04-18 11:43:48.950",3929097
"402","0022",23892,72,56860,"2022-04-18 11:43:48.950",192589
"403","0023",13521,83,56860,"2022-04-18 11:43:48.950",5988
"404","0024",19735,72,56860,"2022-04-18 11:43:48.950",249
"405","0025",29419,159,56860,"2022-04-18 11:43:48.950",12751
"406","0026",35645,106,56860,"2022-04-18 11:43:48.950",53208
"407","0027",42160,234,56860,"2022-04-18 11:43:48.950",6243880
"408","0028",24480,64,56860,"2022-04-18 11:43:48.950",103552
"409","0040",42812,223,56860,"2022-04-18 11:43:48.950",7896534
"410","0044",17250,11,56860,"2022-04-18 11:43:48.950",200088
"411","0047",7706,4,56860,"2022-04-18 11:43:48.950",4029
"412","0048",4351,3,56860,"2022-04-18 11:43:48.950",8238
"413","03DF",28374,11,56860,"2022-04-18 11:43:48.950",265891
